# Oxford A1-B1 words the course does not TEACH (measure B).
# A word counts as taught only from content fields: vocab item
# en/gap_answer/lemma, vocab sentence-bank lemmas, grammar
# gap_answer/lemma, grammar teaches_lemmas. Explanations, intro
# cards and notes do NOT count - that was the old 336 floor's bug.
# Regenerate: py -X utf8 codex/scripts/rue_oxford.py --write
# band	word	pos
a1	add	verb
a1	ball	noun
a1	below	adverb/preposition
a1	born	verb
a1	cafe	noun
a1	carry	verb
a1	chart	noun/verb
a1	climb	noun/verb
a1	club	noun
a1	compare	verb
a1	create	verb
a1	design	noun/verb
a1	dialogue	noun
a1	die	verb
a1	discuss	verb
a1	during	preposition
a1	east	adjective/adverb/noun
a1	else	adverb
a1	enough	adverb/determiner/pronoun
a1	everyone	pronoun
a1	extra	adjective/adverb/noun
a1	false	adjective
a1	fill	verb
a1	grow	verb
a1	guess	noun/verb
a1	happen	verb
a1	have to	modal verb
a1	hey	exclamation
a1	if	conjunction
a1	imagine	verb
a1	include	verb
a1	introduce	verb
a1	its	determiner
a1	kilometre	noun
a1	lie	noun/verb
a1	main	adjective
a1	maybe	adverb
a1	metre	noun
a1	mile	noun
a1	no one	pronoun
a1	nobody	pronoun
a1	north	adjective/adverb/noun
a1	nothing	pronoun
a1	oh	exclamation
a1	piano	noun
a1	reader	noun
a1	somebody	pronoun
a1	south	adjective/adverb/noun
a1	teenager	noun
a1	then	adverb
a1	turn	noun/verb
a1	west	adjective/adverb/noun
a1	yeah	exclamation
a1	yourself	pronoun
a2	among	preposition
a2	assistant	adjective/noun
a2	bean	noun
a2	care	noun/verb
a2	designer	noun
a2	director	noun
a2	except	conjunction/preposition
a2	hers	pronoun
a2	instructor	noun
a2	organization	noun
a2	smoke	noun/verb
a2	yours	pronoun
b1	absolutely	adverb
b1	academic	adjective/noun
b1	access	noun/verb
b1	achievement	noun
b1	ad	noun
b1	admire	verb
b1	advanced	adjective
b1	advise	verb
b1	aged	adjective
b1	agent	noun
b1	ahead	adverb
b1	aim	noun/verb
b1	album	noun
b1	alcohol	noun
b1	alcoholic	adjective
b1	amazed	adjective
b1	ambition	noun
b1	analyse	verb
b1	annoy	verb
b1	apart	adverb
b1	appreciate	verb
b1	approximately	adverb
b1	arrest	noun/verb
b1	atmosphere	noun
b1	attach	verb
b1	attract	verb
b1	attraction	noun
b1	authority	noun
b1	aware	adjective
b1	backwards	adverb
b1	ban	noun/verb
b1	base	noun/verb
b1	basis	noun
b1	battery	noun
b1	battle	noun/verb
b1	beauty	noun
b1	bee	noun
b1	belief	noun
b1	bell	noun
b1	bend	noun/verb
b1	bite	noun/verb
b1	block	noun/verb
b1	bomb	noun/verb
b1	bother	verb
b1	brave	adjective
b1	breath	noun
b1	breathing	noun
b1	bride	noun
b1	bubble	noun
b1	bury	verb
b1	campaign	noun/verb
b1	campus	noun
b1	cap	noun
b1	captain	noun
b1	careless	adjective
b1	category	noun
b1	celebration	noun
b1	ceremony	noun
b1	chain	noun/verb
b1	challenge	noun/verb
b1	champion	noun
b1	channel	noun
b1	cheat	noun/verb
b1	chemical	adjective/noun
b1	chest	noun
b1	clause	noun
b1	click	noun/verb
b1	cloth	noun
b1	clue	noun
b1	coal	noun
b1	collection	noun
b1	coloured	adjective
b1	combine	verb
b1	commercial	adjective/noun
b1	commit	verb
b1	communication	noun
b1	competitive	adjective
b1	competitor	noun
b1	confirm	verb
b1	confuse	verb
b1	connection	noun
b1	consist	verb
b1	consume	verb
b1	consumer	noun
b1	container	noun
b1	content	adjective/noun
b1	continuous	adjective
b1	convenient	adjective
b1	convince	verb
b1	costume	noun
b1	cottage	noun
b1	cotton	noun
b1	court	noun
b1	covered	adjective
b1	cruel	adjective
b1	cultural	adjective
b1	current	adjective/noun
b1	currently	adverb
b1	custom	noun
b1	damage	noun/verb
b1	decade	noun
b1	definite	adjective
b1	definition	noun
b1	deliver	verb
b1	determined	adjective
b1	diagram	noun
b1	diamond	noun
b1	dirt	noun
b1	dislike	noun/verb
b1	divide	noun/verb
b1	documentary	noun
b1	dressed	adjective
b1	drum	noun
b1	drunk	adjective
b1	earthquake	noun
b1	economy	noun
b1	editor	noun
b1	educate	verb
b1	educated	adjective
b1	effective	adjective
b1	effectively	adverb
b1	election	noun
b1	element	noun
b1	emotion	noun
b1	enemy	noun
b1	engineering	noun
b1	entertain	verb
b1	entrance	noun
b1	entry	noun
b1	episode	noun
b1	equally	adverb
b1	escape	noun/verb
b1	examine	verb
b1	excitement	noun
b1	exhibition	noun
b1	expand	verb
b1	expedition	noun
b1	explode	verb
b1	explore	verb
b1	explosion	noun
b1	export	noun/verb
b1	fancy	adjective/verb
b1	fascinating	adjective
b1	fashionable	adjective
b1	fasten	verb
b1	fence	noun
b1	fighting	noun
b1	fitness	noun
b1	flag	noun
b1	flow	noun/verb
b1	fold	noun/verb
b1	folk	adjective/noun
b1	force	noun/verb
b1	frame	noun/verb
b1	freeze	verb
b1	frequently	adverb
b1	friendship	noun
b1	frighten	verb
b1	frozen	adjective
b1	fuel	noun/verb
b1	function	noun/verb
b1	gather	verb
b1	gentle	adjective
b1	gentleman	noun
b1	ghost	noun
b1	giant	adjective/noun
b1	goods	noun
b1	grade	noun/verb
b1	grain	noun
b1	guard	noun/verb
b1	hang	verb
b1	happiness	noun
b1	headline	noun
b1	heavily	adverb
b1	helicopter	noun
b1	highlight	noun/verb
b1	historic	adjective
b1	horror	noun
b1	host	noun/verb
b1	hunt	noun/verb
b1	hurricane	noun
b1	hurry	noun/verb
b1	identity	noun
b1	ignore	verb
b1	imaginary	adjective
b1	immigrant	noun
b1	import	noun/verb
b1	impression	noun
b1	incredibly	adverb
b1	indeed	adverb
b1	indirect	adjective
b1	indoors	adverb
b1	ingredient	noun
b1	injure	verb
b1	intelligence	noun
b1	intend	verb
b1	intention	noun
b1	iron	noun/verb
b1	issue	noun/verb
b1	journal	noun
b1	judge	noun/verb
b1	keen	adjective
b1	kick	noun/verb
b1	killing	noun
b1	kiss	noun/verb
b1	label	noun/verb
b1	laboratory	noun
b1	lack	noun/verb
b1	lay	verb
b1	layer	noun
b1	leading	adjective
b1	leather	noun
b1	leisure	noun
b1	limit	noun/verb
b1	lip	noun
b1	liquid	adjective/noun
b1	literature	noun
b1	locate	verb
b1	located	adjective
b1	location	noun
b1	mainly	adverb
b1	mall	noun
b1	management	noun
b1	marketing	noun
b1	marriage	noun
b1	meanwhile	adverb
b1	measure	noun/verb
b1	medium	adjective/noun
b1	mess	noun
b1	mild	adjective
b1	mix	noun/verb
b1	mixture	noun
b1	murder	noun/verb
b1	muscle	noun
b1	mystery	noun
b1	nail	noun
b1	narrative	adjective/noun
b1	nation	noun
b1	naturally	adverb
b1	needle	noun
b1	net	adjective/noun
b1	nuclear	adjective
b1	occasion	noun
b1	operation	noun
b1	organized	adjective
b1	organizer	noun
b1	originally	adverb
b1	ours	pronoun
b1	outdoors	adverb
b1	package	noun/verb
b1	pale	adjective
b1	pan	noun
b1	participate	verb
b1	passion	noun
b1	peaceful	adjective
b1	percentage	noun
b1	personally	adverb
b1	photographer	noun
b1	photography	noun
b1	pin	noun/verb
b1	pipe	noun
b1	planning	noun
b1	plenty	pronoun
b1	plot	noun/verb
b1	plus	adjective/conjunction/noun/preposition
b1	poem	noun
b1	poet	noun
b1	poetry	noun
b1	poison	noun/verb
b1	poisonous	adjective
b1	policy	noun
b1	politician	noun
b1	politics	noun
b1	port	noun
b1	portrait	noun
b1	possibly	adverb
b1	pot	noun
b1	pour	verb
b1	powder	noun
b1	pray	verb
b1	prayer	noun
b1	prediction	noun
b1	prepared	adjective
b1	presentation	noun
b1	press	noun/verb
b1	pretend	verb
b1	previously	adverb
b1	priest	noun
b1	primary	adjective
b1	prince	noun
b1	princess	noun
b1	printing	noun
b1	prisoner	noun
b1	producer	noun
b1	promote	verb
b1	proper	adjective
b1	properly	adverb
b1	protest	noun/verb
b1	punish	verb
b1	punishment	noun
b1	qualified	adjective
b1	qualify	verb
b1	quit	verb
b1	quotation	noun
b1	racing	noun
b1	range	noun/verb
b1	reaction	noun
b1	reality	noun
b1	reflect	verb
b1	regularly	adverb
b1	relate	verb
b1	relation	noun
b1	release	noun/verb
b1	remote	adjective
b1	repeated	adjective
b1	represent	verb
b1	reservation	noun
b1	resource	noun
b1	respect	noun/verb
b1	retired	adjective
b1	robot	noun
b1	roll	noun/verb
b1	romantic	adjective
b1	rope	noun
b1	row	noun
b1	royal	adjective
b1	rugby	noun
b1	sailor	noun
b1	sample	noun/verb
b1	scan	verb
b1	script	noun
b1	sculpture	noun
b1	security	noun
b1	sensible	adjective
b1	servant	noun
b1	setting	noun
b1	sex	noun
b1	sexual	adjective
b1	shine	verb
b1	shoot	noun/verb
b1	sight	noun
b1	signal	noun/verb
b1	similarly	adverb
b1	slice	noun/verb
b1	specifically	adverb
b1	spirit	noun
b1	spot	noun/verb
b1	spread	noun/verb
b1	statistic	noun
b1	statue	noun
b1	stick	noun/verb
b1	stranger	noun
b1	string	noun
b1	strongly	adverb
b1	studio	noun
b1	stuff	noun/verb
b1	substance	noun
b1	successfully	adverb
b1	suffer	verb
b1	summarize	verb
b1	supply	noun/verb
b1	supporter	noun
b1	surely	adverb
b1	surface	noun
b1	survive	verb
b1	switch	noun/verb
b1	talented	adjective
b1	tape	noun
b1	technique	noun
b1	tent	noun
b1	theirs	pronoun
b1	theme	noun
b1	throughout	adverb/preposition
b1	till	conjunction/preposition
b1	tin	noun
b1	toe	noun
b1	tongue	noun
b1	trade	noun/verb
b1	treat	verb
b1	trend	noun
b1	trick	noun/verb
b1	tube	noun
b1	typically	adverb
b1	tyre	noun
b1	uncomfortable	adjective
b1	underwear	noun
b1	unlike	preposition
b1	unnecessary	adjective
b1	unpleasant	adjective
b1	update	noun/verb
b1	upon	preposition
b1	version	noun
b1	victim	noun
b1	viewer	noun
b1	volunteer	noun/verb
b1	vote	noun/verb
b1	warning	noun
b1	weapon	noun
b1	weigh	verb
b1	whatever	adverb/determiner/pronoun
b1	whenever	conjunction
b1	whether	conjunction
b1	within	preposition
b1	wonder	noun/verb
b1	wool	noun
b1	worldwide	adjective/adverb
b1	yard	noun
b1	youth	noun
